500 1000
0 108 8960
1 392 4023
2 104 6649
3 489 1395
4 276 1449
5 7 7877
6 286 9630
7 429 8939
8 312 5677
9 479 8591
10 112 4394
11 47 9476
12 137 712
13 439 7476
14 168 292
15 104 8959
16 117 718
17 296 5542
18 99 7308
19 60 5304
20 186 1185
21 492 160
22 440 9766
23 412 774
24 69 5150
25 248 6644
26 102 8722
27 283 4399
28 69 8447
29 415 8968
30 393 6402
31 373 1018
32 43 2648
33 69 438
34 99 679
35 318 1099
36 492 5019
37 414 6748
38 464 7413
39 422 3372
40 125 3908
41 450 6679
42 78 8722
43 247 9787
44 251 7424
45 161 7538
46 248 1056
47 431 9246
48 315 3878
49 74 9764
50 322 9379
51 469 2497
52 475 5984
53 483 1588
54 63 2018
55 78 3532
56 464 6723
57 172 1253
58 270 5268
59 98 5869
60 466 4677
61 162 8037
62 249 8452
63 248 2027
64 457 9177
65 349 6907
66 150 5690
67 287 1041
68 454 6376
69 428 9209
70 295 2338
71 476 3443
72 308 2600
73 298 7777
74 477 2139
75 190 5081
76 188 3211
77 277 8902
78 166 5067
79 354 5667
80 133 7119
81 443 8573
82 431 6517
83 223 1070
84 406 8616
85 374 5714
86 119 1037
87 400 5276
88 244 6249
89 413 9545
90 325 2751
91 240 4902
92 218 2043
93 181 8482
94 212 1616
95 149 5284
96 444 8909
97 148 7759
98 189 4683
99 257 688
100 418 7299
101 171 5008
102 442 6792
103 183 6571
104 323 3897
105 115 609
106 131 7503
107 410 7401
108 375 9259
109 320 5536
110 381 1609
111 419 8110
112 153 7497
113 115 7937
114 462 626
115 364 3706
116 328 3547
117 457 3937
118 331 2299
119 427 6196
120 390 4534
121 130 3736
122 374 2167
123 193 9477
124 442 1760
125 378 1986
126 274 916
127 165 8528
128 447 2459
129 392 3267
130 289 8585
131 154 1751
132 478 3409
133 493 7362
134 423 4765
135 327 1777
136 227 655
137 444 6696
138 413 6446
139 199 3517
140 248 4289
141 238 9609
142 217 1154
143 372 4644
144 381 9358
145 361 9412
146 476 6328
147 152 7337
148 369 4346
149 183 1784
150 482 5675
151 288 410
152 419 5537
153 431 1746
154 418 8477
155 201 7592
156 248 2894
157 320 5335
158 365 2300
159 271 927
160 459 6453
161 300 7584
162 321 2544
163 167 7181
164 297 3404
165 302 636
166 379 967
167 450 337
168 442 3554
169 497 4783
170 311 5978
171 427 1965
172 327 5887
173 363 9924
174 225 6457
175 317 3073
176 446 445
177 307 6699
178 498 9766
179 238 9642
180 317 2373
181 260 8749
182 326 8761
183 345 2228
184 341 6237
185 352 5570
186 294 5235
187 262 7693
188 296 6029
189 273 6871
190 354 1264
191 327 2289
192 404 3134
193 252 9804
194 294 3442
195 481 4261
196 246 3998
197 344 8840
198 301 9790
199 392 599
200 324 4332
201 285 459
202 351 8925
203 365 4232
204 414 8577
205 480 5255
206 336 6265
207 472 4085
208 213 2018
209 470 4417
210 220 4261
211 469 836
212 417 6513
213 246 9102
