5000 10000
0 4509 3602
1 1486 5575
2 3166 4536
3 977 6612
4 69 5648
5 4338 1595
6 4933 842
7 2139 2396
8 937 2612
9 369 3310
10 341 6352
11 2372 9385
12 3331 2061
13 4083 1555
14 3667 1313
15 1861 8156
16 365 5502
17 2414 8481
18 1402 6565
19 236 4505
20 849 9829
21 1485 158
22 1174 7395
23 2341 3555
24 2465 2086
25 3912 5183
26 2431 153
27 4976 7204
28 4359 1376
29 1373 7073
30 1253 3738
31 2947 9772
32 1181 5833
33 1709 3459
34 4628 3302
35 699 4893
36 4222 728
37 3976 1428
38 3439 5101
39 755 7801
40 3744 6771
41 3498 685
42 1945 2225
43 672 7086
44 385 3810
45 1341 4433
46 3686 5977
47 3859 6557
48 1451 3987
49 4016 7844
50 4990 7107
51 3031 9359
52 2645 1180
53 3578 7173
54 980 3886
55 3580 6625
56 4729 2366
57 1717 152
58 2438 7125
59 2247 8141
60 2445 1205
61 164 8396
62 1480 7405
63 3072 5153
64 688 7792
65 1216 3632
66 2930 2029
67 2557 3954
68 771 678
69 1283 456
70 2171 4545
71 332 9322
72 1282 1515
73 1210 6537
74 895 4802
75 735 4714
76 318 5377
77 2982 7018
78 925 7448
79 1501 5523
80 2425 7770
81 1625 1581
82 3145 2181
83 3370 3472
84 2944 833
85 2787 5830
86 2101 1132
87 175 6838
88 396 252
89 3289 9433
90 2089 6745
91 742 4913
92 403 6988
93 3587 9649
94 4132 3248
95 4736 6058
96 2739 985
97 1987 7010
98 2877 32
99 315 9845
100 2481 786
101 3950 6643
102 4812 4981
103 333 1324
104 2401 552
105 1498 8763
106 559 527
107 2037 3767
108 2414 1314
109 1416 3663
110 2076 1029
111 3074 7434
112 2903 8993
113 4701 2828
114 4877 282
115 3684 3757
116 3579 4463
117 4619 751
118 663 2664
119 3488 4468
120 3185 6825
121 3094 1942
122 180 3358
123 4107 7946
124 509 9259
125 974 4551
126 469 3531
127 453 6872
128 1178 3547
129 4306 8320
130 1577 9263
131 4917 3541
132 244 2300
133 2712 8054
134 812 95
135 638 71
136 2052 9673
137 3194 3870
138 174 1065
139 1350 2039
140 2612 6579
141 2339 6944
142 479 8453
143 3873 5541
144 815 2946
145 797 5637
146 1706 7324
147 4627 2865
148 2370 2339
149 3709 4916
150 1125 4323
151 4808 569
152 3702 1931
153 355 8898
154 4292 6881
155 1282 7930
156 2425 7349
157 3369 3794
158 928 1738
159 744 9780
160 2592 2893
161 3365 1423
162 1598 5065
163 979 696
164 1164 9852
165 594 1195
166 4789 4206
167 4431 7934
168 3894 2529
169 496 7816
170 1939 4288
171 4610 9172
172 3817 4114
173 3952 1746
174 1715 2769
175 1017 6923
176 4886 3225
177 1937 3696
178 1126 2396
179 3194 2224
180 3902 3236
181 4824 706
182 2111 9259
183 1902 6864
184 3216 1694
185 3769 1990
186 4598 3498
187 2025 7456
188 3793 7159
189 2293 1499
190 1376 2904
191 1200 4541
192 1761 1830
193 2102 891
194 3572 2776
195 1596 1493
196 1965 7897
197 3476 9855
198 4189 6325
199 1541 2508
200 1110 7280
201 3952 1234
202 1745 8940
203 1059 9883
204 2998 3735
205 253 4807
206 2655 4979
207 1165 3229
