4136 1511
1504 664 7550
438 290 7227
892 193 4969
21 1159 4018
941 180 6458
62 1394 7188
330 383 148
131 1306 9421
672 1288 730
431 1046 7661
275 898 8789
340 950 8319
1054 454 3027
1483 1455 9366
1464 736 4009
1388 881 7840
1068 712 8496
1002 1212 2189
1088 418 3700
1212 1046 9540
1437 1352 5073
435 1492 6108
258 1292 294
1316 1391 8271
1483 444 7344
229 836 3483
261 1162 3230
786 157 774
857 1033 8452
501 761 5968
358 1143 9392
665 696 9768
95 262 1573
598 910 4217
784 370 2587
473 783 9298
763 1207 6880
1216 466 4122
914 576 8352
28 1464 921
254 821 2585
952 823 9551
307 653 9307
1079 900 504
559 726 6789
972 323 8852
999 1356 5253
858 102 3197
495 1124 5210
14 1087 6044
305 751 2409
1153 1310 7848
770 1339 9650
263 593 4140
1139 57 19
412 565 5443
880 467 4814
396 1314 1259
800 1313 3328
791 51 7948
96 368 7
260 594 3212
870 277 7299
570 565 2137
1404 742 9640
448 712 5359
196 152 6457
125 1277 2132
1453 642 9985
50 1329 406
1078 487 7281
245 523 6227
6 51 3145
1123 1086 4014
546 64 3698
832 1506 890
1358 1318 4556
256 365 1266
1023 941 8470
166 12 285
598 645 5524
599 551 4685
1183 960 2380
1322 1340 2181
750 802 8887
1257 124 5832
1434 1328 9760
1245 185 7671
220 457 3522
1208 409 2169
218 379 6202
235 629 3121
882 246 6261
838 613 7299
392 136 3213
940 1494 2357
636 786 8943
856 1189 8869
629 436 1734
723 1163 9877
1292 1104 268
111 1087 4466
462 480 1136
1102 139 33
1398 388 4276
1397 716 5610
502 779 2223
208 1488 3905
78 1073 6122
797 285 825
529 329 5741
523 1473 5038
1036 40 4821
1040 149 2956
391 55 1192
1353 1131 1312
1480 1508 5218
163 827 7083
722 637 9325
848 1348 4991
234 114 8852
642 1232 1512
1377 1349 6895
335 115 6903
340 2 7464
990 498 8588
975 1006 5885
445 434 4607
1449 553 4126
14 531 1698
1217 1295 3761
908 713 5374
1072 1451 5220
863 1479 3647
469 1048 9965
1183 518 7791
630 380 4075
695 549 8497
210 661 8382
1124 247 6323
1039 845 4426
1123 309 2156
885 1296 634
367 237 3795
478 947 9410
791 500 9617
548 1122 7412
1155 579 8586
729 34 458
925 1148 9087
944 1253 7702
953 63 9597
1156 951 3376
32 1096 4783
178 444 6604
1340 53 4494
1235 918 6518
236 131 5389
1214 1376 420
346 900 548
469 1470 2309
822 633 5544
1235 244 1929
178 1477 1058
802 1333 6438
898 1455 6403
125 571 662
1487 1264 7149
1277 1117 5467
441 544 170
888 807 526
1423 166 1470
1146 1213 3258
1382 786 8810
1409 913 7570
1153 785 9964
681 447 5749
1428 1213 906
1021 882 9813
1119 990 8522
1307 224 5163
666 1481 5368
764 1333 4356
1241 1282 3506
162 1104 9070
891 1508 2151
1070 687 3895
1092 633 9542
120 823 8940
701 604 7382
1160 826 3681
1253 202 6168
995 586 7139
884 795 432
1130 91 8513
1494 1341 8216
1004 389 247
875 279 5272
1455 1385 7835
895 1335 6220
424 233 9706
884 1041 838
107 1465 1700
377 968 1651
1000 1098 2281
1114 661 8861
1428 509 9018
106 1368 2405
1319 961 1394
1262 734 6600
800 43 5328
1465 390 4367
1027 1167 6942
842 1044 3817
103 812 7769
412 309 9583
361 180 2780
1286 779 4979
788 588 2398
1015 967 487
1473 141 6405
1095 1079 8977
61 1350 2944
942 208 8919
305 1358 3784
876 572 2540
996 48 7350
1327 770 5416
432 930 7289
31 534 3879
532 999 8891
456 598 2071
1304 83 528
1462 747 9278
737 1310 5449
207 94 8473
1442 272 3032
