50 100
0 37 7057
1 23 8867
2 17 9465
3 15 7112
4 9 9881
5 48 3537
6 25 3568
7 19 2318
8 21 7164
9 46 8660
10 16 9186
11 36 3386
12 18 4101
13 25 3234
14 41 3196
15 25 1251
16 39 6084
17 47 3173
18 48 9577
19 30 9405
20 46 7487
21 46 5848
22 30 2668
23 31 967
24 36 8505
25 45 8138
26 37 9355
27 39 8390
28 36 8326
29 32 5271
30 44 4964
31 34 2380
32 37 2232
33 38 4471
34 37 7437
35 48 7371
36 45 7134
37 39 5816
38 43 8498
39 47 2572
40 45 2060
41 49 2866
42 48 6538
43 46 9391
44 48 482
45 46 2481
46 47 3154
47 48 9482
48 49 2769
46 70 363
94 50 944
68 71 7122
54 17 4703
40 80 8223
86 83 7931
66 73 3679
40 26 7357
88 67 9929
56 37 8695
98 61 1254
24 55 3645
77 7 4995
77 26 3157
73 68 1473
7 88 171
91 84 5422
80 21 3066
49 93 3077
43 96 5830
16 4 9110
89 49 3052
32 3 5443
65 86 240
33 39 6426
6 96 6491
93 89 9025
79 98 1585
78 27 4021
1 10 485
60 41 5187
48 37 3269
38 83 3970
49 42 9458
91 52 5832
20 18 4670
32 37 2801
29 69 3376
10 83 339
15 92 1407
1 11 7844
89 45 7116
22 40 7848
80 46 1881
72 40 8375
72 81 9612
20 31 6566
18 28 4137
76 17 7178
50 54 4351
60 20 1786
