2500 5000
0 1074 9434
1 1577 6102
2 2479 6372
3 2336 4645
4 2197 8142
5 85 163
6 584 492
7 236 6410
8 1981 8999
9 2039 7139
10 930 4618
11 493 3021
12 1877 5487
13 2008 580
14 1180 203
15 698 2018
16 216 8227
17 31 1811
18 1159 4117
19 1819 3629
20 642 1762
21 355 8765
22 2084 9886
23 892 864
24 369 4012
25 962 9185
26 1372 3173
27 385 6105
28 2456 3189
29 100 1753
30 609 8055
31 2153 649
32 176 4527
33 2148 9885
34 765 7399
35 747 9495
36 1421 5162
37 738 7471
38 235 2203
39 717 6744
40 2164 799
41 2499 8662
42 2034 7053
43 1726 9473
44 321 438
45 1474 8908
46 1149 4813
47 1814 6848
48 392 1424
49 1083 9204
50 1007 2360
51 1933 6741
52 738 3384
53 915 5317
54 1874 8895
55 1991 1467
56 2299 7316
57 481 5060
58 1597 6440
59 758 5523
60 746 9346
61 2414 7758
62 1846 6705
63 2004 3891
64 728 774
65 424 6898
66 748 8605
67 167 8526
68 2047 1665
69 1148 4745
70 910 1825
71 1129 2627
72 1274 4044
73 150 879
74 438 8039
75 880 3927
76 1378 3812
77 198 1514
78 954 6435
79 1687 404
80 1810 658
81 1920 2362
82 1044 693
83 380 8173
84 1759 9202
85 339 4567
86 2118 9256
87 1130 290
88 579 8080
89 1642 7848
90 1880 502
91 781 717
92 1839 6030
93 1509 2150
94 2133 3034
95 1169 7983
96 655 8206
97 727 3236
98 953 8850
99 1362 2814
100 484 2018
101 2270 360
102 2235 6269
103 1795 4025
104 2242 840
105 2418 3076
106 438 8291
107 838 4668
108 228 1510
109 2245 8823
110 280 3239
111 678 512
112 2300 5796
113 505 9590
114 467 4172
115 1395 4547
116 582 4296
117 2468 3446
118 1622 6117
119 2373 5098
120 2002 4751
121 1953 90
122 1374 4388
123 486 1521
124 475 587
125 1400 6605
126 1139 7388
127 2280 8611
128 2429 7525
129 1403 3235
130 411 8791
131 412 9061
132 1458 6540
133 742 3082
134 2104 6900
135 1383 9445
136 2189 1521
137 1160 4122
138 2256 3871
139 650 7012
140 1972 4231
141 2211 2842
142 296 1851
143 840 6134
144 195 2041
145 2007 7902
146 2120 7534
147 1142 2965
148 1666 6486
149 2226 984
150 517 8679
151 456 5832
152 2017 4574
153 1053 7209
154 458 9174
155 1847 6224
156 1798 2063
157 1026 4004
158 1899 8163
159 1655 2668
160 1553 6535
161 1860 7362
162 580 2122
163 245 6432
164 783 3413
165 1255 2462
166 756 514
167 750 149
168 1418 2475
169 566 4908
170 2253 8028
171 503 1672
172 1534 831
173 384 8709
174 514 607
175 293 3866
176 592 7216
177 758 4534
178 1420 3319
179 1843 25
180 457 6850
181 1847 8803
182 2440 732
183 1980 7137
184 731 2942
185 488 7793
186 1893 8821
187 1776 81
188 326 1880
189 424 9240
190 1842 9137
191 544 3873
192 1550 4213
193 1589 38
194 848 4198
195 263 146
196 214 9471
197 726 60
198 1296 2805
199 206 4977
200 1474 7014
201 2324 5225
202 345 2333
203 2410 2912
204 2291 3486
205 1570 5279
206 1478 1973
207 2287 4459
208 2408 3502
209 1118 9671
210 1170 8526
211 2098 2335
212 1552 1673
213 1238 729
214 2362 3729
215 2157 1800
216 2128 4720
217 649 1236
218 1599 1182
219 828 4159
220 1738 9638
221 1182 6582
222 2119 7354
223 1120 4154
224 1000 3650
225 712 4804
226 2312 8162
227 406 1902
228 1653 4703
229 1860 5694
230 1904 2876
231 319 3889
232 2055 6681
